"germinate" "bed" "treatment" "spatial_coordinates" "day" "length"
"1" 18 "paper4" "enriched" "upper_left" "day3" 2
"2" 18 "paper4" "enriched" "upper_left" "day4" 13
"3" 18 "paper4" "enriched" "upper_left" "day5" 34
"4" 18 "paper4" "enriched" "upper_left" "day6" 85
"5" 18 "paper4" "enriched" "upper_left" "day7" 112
"6" 18 "paper4" "enriched" "upper_left" "day8" 121
"7" 19 "mould1" "enriched" "upper_left" "day3" 5
"8" 19 "mould1" "enriched" "upper_left" "day4" 22
"9" 19 "mould1" "enriched" "upper_left" "day5" 60
"10" 19 "mould1" "enriched" "upper_left" "day6" 95
"11" 19 "mould1" "enriched" "upper_left" "day7" 108
"12" 19 "mould1" "enriched" "upper_left" "day8" 116
"13" 18 "paper8" "enriched" "upper_left" "day3" 5
"14" 18 "paper8" "enriched" "upper_left" "day4" 26
"15" 18 "paper8" "enriched" "upper_left" "day5" 34
"16" 18 "paper8" "enriched" "upper_left" "day6" 73
"17" 18 "paper8" "enriched" "upper_left" "day7" 96
"18" 18 "paper8" "enriched" "upper_left" "day8" 111
"19" 17 "mould2" "enriched" "upper_left" "day3" 7
"20" 17 "mould2" "enriched" "upper_left" "day4" 24
"21" 17 "mould2" "enriched" "upper_left" "day5" 61
"22" 17 "mould2" "enriched" "upper_left" "day6" 91
"23" 17 "mould2" "enriched" "upper_left" "day7" 101
"24" 17 "mould2" "enriched" "upper_left" "day8" 117
"25" 12 "paper4" "enriched" "lower_left" "day3" 0
"26" 12 "paper4" "enriched" "lower_left" "day4" 9
"27" 12 "paper4" "enriched" "lower_left" "day5" 31
"28" 12 "paper4" "enriched" "lower_left" "day6" 61
"29" 12 "paper4" "enriched" "lower_left" "day7" 92
"30" 12 "paper4" "enriched" "lower_left" "day8" 116
"31" 18 "mould1" "enriched" "lower_left" "day3" 7
"32" 18 "mould1" "enriched" "lower_left" "day4" 30
"33" 18 "mould1" "enriched" "lower_left" "day5" 66
"34" 18 "mould1" "enriched" "lower_left" "day6" 91
"35" 18 "mould1" "enriched" "lower_left" "day7" 116
"36" 18 "mould1" "enriched" "lower_left" "day8" 129
"37" 19 "paper8" "enriched" "lower_left" "day3" 0
"38" 19 "paper8" "enriched" "lower_left" "day4" 11
"39" 19 "paper8" "enriched" "lower_left" "day5" 26
"40" 19 "paper8" "enriched" "lower_left" "day6" 61
"41" 19 "paper8" "enriched" "lower_left" "day7" 92
"42" 19 "paper8" "enriched" "lower_left" "day8" 109
"43" 15 "mould2" "enriched" "lower_left" "day3" 5
"44" 15 "mould2" "enriched" "lower_left" "day4" 31
"45" 15 "mould2" "enriched" "lower_left" "day5" 78
"46" 15 "mould2" "enriched" "lower_left" "day6" 110
"47" 15 "mould2" "enriched" "lower_left" "day7" 121
"48" 15 "mould2" "enriched" "lower_left" "day8" 126
"49" 19 "paper4" "water" "upper_left" "day3" 2
"50" 19 "paper4" "water" "upper_left" "day4" 17
"51" 19 "paper4" "water" "upper_left" "day5" 37
"52" 19 "paper4" "water" "upper_left" "day6" 74
"53" 19 "paper4" "water" "upper_left" "day7" 81
"54" 19 "paper4" "water" "upper_left" "day8" 81
"55" 18 "mould1" "water" "upper_left" "day3" 3
"56" 18 "mould1" "water" "upper_left" "day4" 19
"57" 18 "mould1" "water" "upper_left" "day5" 52
"58" 18 "mould1" "water" "upper_left" "day6" 93
"59" 18 "mould1" "water" "upper_left" "day7" 103
"60" 18 "mould1" "water" "upper_left" "day8" 106
"61" 17 "paper8" "water" "upper_left" "day3" 4
"62" 17 "paper8" "water" "upper_left" "day4" 14
"63" 17 "paper8" "water" "upper_left" "day5" 41
"64" 17 "paper8" "water" "upper_left" "day6" 62
"65" 17 "paper8" "water" "upper_left" "day7" 74
"66" 17 "paper8" "water" "upper_left" "day8" 88
"67" 18 "mould2" "water" "upper_left" "day3" 9
"68" 18 "mould2" "water" "upper_left" "day4" 26
"69" 18 "mould2" "water" "upper_left" "day5" 62
"70" 18 "mould2" "water" "upper_left" "day6" 94
"71" 18 "mould2" "water" "upper_left" "day7" 106
"72" 18 "mould2" "water" "upper_left" "day8" 110
"73" 15 "paper4" "water" "lower_left" "day3" 3
"74" 15 "paper4" "water" "lower_left" "day4" 9
